UID,UDC,UFN,UTN,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,DC_11,DC_12,DC_13,DC_14,DC_15,DC_16,DC_17,DC_18,DC_19,DC_20,DC_21,DC_22
0,1,25,5,3,0,0,0,0,0,0,0,0,0,16,0,0,1,2,2,1,0,0,0,0,0
1,1,106,6,11,11,0,0,0,1,0,0,0,5,10,1,2,8,13,41,0,1,0,0,2,0
2,1,12,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
3,1,47,18,38,1,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0
4,1,20,58,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
5,1,42,12,19,3,0,0,0,0,0,0,1,0,4,2,0,4,2,7,0,0,0,0,0,0
6,1,250,28,11,9,1,3,1,1,0,4,4,13,13,7,1,6,139,17,1,6,4,0,4,5
7,1,13,50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8,1,40,16,34,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0
9,1,36,8,2,2,0,1,0,0,0,0,1,1,3,3,0,4,14,2,0,2,1,0,0,0
10,1,11,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0
11,1,53,6,38,1,0,1,0,1,0,0,0,1,2,1,0,0,3,2,0,0,2,0,0,1
12,1,17,40,0,1,0,1,0,0,0,0,0,0,8,0,0,1,2,2,0,1,1,0,0,0
13,1,18,2,9,0,0,0,2,0,0,0,0,0,2,0,0,2,1,2,0,0,0,0,0,0
14,1,28,13,13,0,0,1,1,0,0,1,0,0,2,1,0,3,2,2,0,0,2,0,0,0
15,1,13,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,1,13,20,6,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0
17,1,24,36,13,2,0,1,0,0,0,1,2,0,2,0,0,0,1,2,0,0,0,0,0,0
18,1,32,82,21,0,0,0,0,0,0,0,0,0,2,0,1,1,2,2,0,1,2,0,0,0
19,1,21,91,15,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0
20,1,37,51,28,1,0,0,0,0,0,0,0,1,0,1,0,0,4,2,0,0,0,0,0,0
21,1,97,22,4,11,0,0,0,0,0,1,1,49,9,3,0,1,9,9,0,0,0,0,0,0
22,1,16,13,10,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0
23,1,49,36,12,0,0,0,0,0,0,0,1,0,30,0,0,0,2,4,0,0,0,0,0,0
24,1,258,37,15,19,0,8,2,3,1,3,3,8,13,8,1,15,118,23,1,3,6,0,3,5
25,1,170,1,12,12,2,3,2,1,0,1,2,4,21,0,1,12,60,23,1,1,10,0,2,0
26,1,14,62,7,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0
27,1,18,4,1,2,0,0,0,0,0,0,0,0,10,0,0,0,2,3,0,0,0,0,0,0
28,1,29,2,16,3,0,0,0,0,0,0,0,1,2,0,0,1,2,3,0,0,0,0,0,1
29,1,14,36,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,1,44,39,35,2,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0
31,1,66,24,33,4,0,0,1,0,0,0,0,1,6,1,0,4,6,8,0,0,1,0,1,0
32,1,20,50,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,12,0,0,2,0,0,1
33,1,75,1,4,2,1,3,1,2,0,2,3,3,3,3,0,5,29,10,0,0,0,0,1,3
34,1,22,9,0,2,0,2,0,1,0,0,0,0,0,3,0,0,8,1,2,0,2,0,1,0
35,1,1031,170,64,79,1,11,12,10,1,6,8,44,452,17,4,39,104,106,4,27,21,4,4,13
36,1,74,15,42,8,0,1,0,1,0,1,0,2,2,2,0,1,7,7,0,0,0,0,0,0
37,1,60,33,8,1,0,2,1,1,0,0,1,3,6,0,0,6,22,7,0,1,1,0,0,0
38,1,38,2,32,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0
39,1,1447,98,127,40,0,17,7,6,2,3,10,30,83,25,5,41,139,872,4,11,16,0,5,4
40,1,97,66,5,9,0,5,2,0,0,1,0,2,11,1,0,7,45,3,1,2,1,0,0,2
41,1,2001,46,1283,78,5,9,8,7,1,3,5,64,104,21,2,67,157,142,4,12,14,0,7,8
42,1,41,11,21,4,0,0,0,0,0,1,0,3,0,0,0,4,1,4,0,2,1,0,0,0
43,1,40,45,31,3,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0
44,1,72,3,7,8,0,0,0,1,0,0,0,2,5,1,1,8,9,28,0,0,2,0,0,0
45,1,150,58,6,7,0,4,0,2,0,1,1,7,12,6,1,5,63,20,3,6,4,1,0,1
46,1,167,21,10,8,0,2,4,1,1,5,3,1,14,1,0,11,68,27,0,0,5,1,1,4
47,1,16,8,8,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,0,0,0,0,0,0
48,1,13,15,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
49,1,22,29,16,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0
50,1,44,14,17,1,0,0,0,0,0,0,0,1,1,1,0,3,10,8,0,2,0,0,0,0
51,1,18,39,3,0,0,0,0,0,0,0,0,3,0,0,0,1,2,8,0,0,1,0,0,0
52,1,16,7,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
53,1,23,5,15,2,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0
54,1,25,1,4,3,0,0,0,0,0,0,1,1,2,0,0,4,8,2,0,0,0,0,0,0
55,1,15,24,2,3,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,2
56,1,50,86,28,3,1,0,0,0,0,0,1,3,0,1,0,1,7,4,0,0,1,0,0,0
57,1,22,2,3,2,0,0,0,0,0,0,1,0,4,0,0,1,6,2,0,1,2,0,0,0
58,1,13,32,1,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0
59,1,22,5,11,1,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,1,0,0,0,0
60,1,21,48,16,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
61,1,50,20,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,1003,14,438,50,3,4,4,4,0,1,6,38,66,16,6,57,185,100,1,9,10,0,3,2
63,1,63,4,31,7,1,1,0,0,0,1,1,4,3,1,0,3,6,2,0,0,1,0,0,1
