UID,UDC,UFN,UTN,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,DC_11,DC_12,DC_13,DC_14,DC_15,DC_16,DC_17,DC_18,DC_19,DC_20,DC_21,DC_22
0,1,27,10,21,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0
1,1,45,76,4,3,0,1,0,0,0,0,0,0,5,1,0,3,6,20,0,1,1,0,0,0
2,1,18,15,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0
3,1,61,9,4,2,0,2,0,1,0,1,2,3,4,0,1,1,32,4,0,1,1,1,1,0
4,1,44,22,40,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5,1,66,24,56,0,0,1,1,0,0,1,1,1,1,0,0,0,1,3,0,0,0,0,0,0
6,1,18,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,1,230,72,15,3,1,2,5,1,2,2,4,2,16,7,2,3,16,135,0,6,3,1,2,2
8,1,32,18,5,0,0,1,0,0,0,0,0,1,2,0,1,2,16,3,0,1,0,0,0,0
9,1,38,1,13,1,0,1,0,0,0,2,1,0,2,3,0,2,5,6,0,0,0,0,1,1
10,1,36,29,23,2,0,0,0,0,0,1,0,0,2,2,0,1,1,1,0,0,1,0,0,2
11,1,17,34,9,1,0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,0,0,0,0,0
12,1,15,55,10,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0
13,1,139,24,14,13,1,3,0,1,1,2,2,1,9,3,1,14,48,17,0,2,2,0,1,4
14,1,21,65,10,1,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,3,0,0,0
15,1,59,43,54,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
16,1,17,4,10,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
17,1,32,75,5,1,1,0,0,0,0,0,1,2,14,0,0,2,2,2,1,0,0,0,0,1
18,1,58,165,25,3,0,0,0,0,0,0,0,3,4,1,0,2,8,12,0,0,0,0,0,0
19,1,164,27,62,8,2,1,6,1,0,3,1,6,9,9,0,8,22,13,0,9,1,0,1,2
20,1,11,58,0,2,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0
21,1,38,16,30,2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0
22,1,29,14,19,1,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,1,0,0,0
23,1,1173,16,529,83,0,1,2,2,0,1,4,76,90,5,4,31,218,113,1,4,5,0,1,3
24,1,36,6,20,3,0,0,0,2,0,0,1,4,0,0,0,1,3,1,0,1,0,0,0,0
25,1,91,2,10,2,0,0,3,2,0,1,0,4,8,3,0,2,45,9,0,2,0,0,0,0
26,1,115,9,6,12,0,0,0,0,0,1,5,8,12,2,0,6,41,19,0,1,2,0,0,0
27,1,36,16,11,3,0,0,0,0,0,0,0,3,5,0,0,1,7,4,0,2,0,0,0,0
28,1,26,18,13,1,0,0,0,0,0,0,0,3,1,0,0,1,4,3,0,0,0,0,0,0
29,1,30,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,2,0,1,0
30,1,26,6,2,3,0,1,0,0,0,0,0,1,1,1,0,0,1,11,0,4,1,0,0,0
31,1,52,4,3,4,0,1,0,0,0,0,0,4,5,2,0,2,18,9,1,0,1,1,0,1
32,1,13,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
33,1,581,94,35,35,1,14,5,3,1,6,7,20,50,19,2,45,244,42,4,17,15,0,8,8
34,1,71,54,3,12,0,0,0,0,0,2,1,2,3,1,1,4,29,10,0,2,0,0,1,0
35,1,82,60,6,4,0,0,0,1,0,0,3,4,7,3,0,5,39,9,0,0,0,0,0,1
36,1,76,20,36,1,1,1,0,0,0,4,0,2,2,1,1,5,8,8,0,3,1,0,1,1
37,1,70,3,48,5,0,0,0,0,0,0,0,7,3,0,0,4,0,1,0,1,1,0,0,0
