UID,UDC,UFN,UTN,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,DC_11,DC_12,DC_13,DC_14,DC_15,DC_16,DC_17,DC_18,DC_19,DC_20,DC_21,DC_22
0,1,15,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,25,80,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,1,23,48,18,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
3,1,72,224,63,1,0,1,0,0,0,1,1,0,1,0,0,0,1,2,1,0,0,0,0,0
4,1,69,10,28,8,0,1,0,0,0,0,0,7,5,0,0,6,9,4,0,1,0,0,0,0
5,1,30,13,2,13,0,0,0,0,0,0,0,3,3,1,0,2,5,0,0,1,0,0,0,0
6,1,26,21,21,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0
7,1,14,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0
8,1,12,30,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1,41,5,2,2,0,1,0,1,0,0,2,2,19,1,2,3,4,1,0,1,0,0,0,0
10,1,39,11,13,6,0,1,0,0,0,0,0,1,2,0,0,4,7,5,0,0,0,0,0,0
11,1,56,24,10,3,0,0,0,0,0,0,0,0,25,0,0,1,6,10,0,1,0,0,0,0
12,1,243,59,37,15,0,2,3,1,0,0,3,11,17,4,1,17,91,25,3,9,2,1,1,0
13,1,24,11,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
14,1,21,40,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
15,1,23,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,1,23,1,8,2,0,0,0,0,0,0,0,1,2,0,0,1,6,2,0,0,1,0,0,0
17,1,28,10,25,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,1,59,13,4,5,0,2,0,1,0,1,1,2,31,2,0,0,1,4,1,3,1,0,0,0
19,1,16,1,0,1,0,0,0,0,0,0,0,3,1,0,0,2,9,0,0,0,0,0,0,0
