UID,UDC,UFN,UTN,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,DC_11,DC_12,DC_13,DC_14,DC_15,DC_16,DC_17,DC_18,DC_19,DC_20,DC_21,DC_22
0,1,67,6,3,4,1,1,0,1,0,0,0,1,47,0,0,0,6,3,0,0,0,0,0,0
1,1,18,76,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2,1,30,61,21,1,0,0,0,0,0,1,0,0,3,0,0,0,3,1,0,0,0,0,0,0
3,1,50,50,1,2,0,1,0,0,1,1,1,1,2,3,0,2,27,2,1,2,2,0,1,0
4,1,29,15,14,0,0,0,0,0,1,0,0,2,1,0,1,2,3,3,0,2,0,0,0,0
5,1,79,112,7,1,0,0,0,0,0,0,0,1,50,1,0,2,8,6,0,1,2,0,0,0
6,1,17,2,8,0,0,0,0,2,0,0,0,0,1,1,0,2,2,1,0,0,0,0,0,0
7,1,13,22,2,0,0,0,0,0,0,0,0,0,8,0,0,2,1,0,0,0,0,0,0,0
8,1,195,15,77,6,2,5,2,1,1,2,3,8,15,3,4,12,19,16,1,10,2,1,1,4
9,1,157,23,105,8,0,0,0,0,0,0,1,4,8,0,0,5,18,5,1,1,0,0,1,0
10,1,13,4,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
11,1,87,60,39,4,1,2,1,0,0,1,1,6,5,4,0,3,13,2,0,1,0,0,1,3
12,1,56,7,10,5,1,0,0,0,0,2,1,2,3,0,1,3,19,7,0,2,0,0,0,0
13,1,17,83,11,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0
14,1,27,2,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
15,1,51,11,7,2,0,0,0,0,0,0,1,1,26,0,0,1,10,3,0,0,0,0,0,0
16,1,38,41,4,3,3,1,0,0,0,0,2,1,0,0,5,0,4,14,0,0,1,0,0,0
17,1,58,12,9,4,0,1,0,1,0,0,0,1,6,0,0,4,21,11,0,0,0,0,0,0
18,1,29,1,9,4,0,0,0,0,0,0,1,0,3,1,0,1,4,4,0,1,0,0,0,1
19,1,14,98,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,1,0,0,1,1
20,1,104,1,9,5,0,1,0,0,4,2,0,4,10,0,0,48,7,10,0,0,4,0,0,0
21,1,3369,2,253,138,13,42,30,30,9,17,32,81,181,50,14,169,1870,275,6,49,54,1,33,22
22,1,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
23,1,30,50,3,1,0,0,0,0,0,0,0,3,4,0,0,2,13,3,0,1,0,0,0,0
24,1,143,7,4,9,0,2,0,1,0,1,1,3,9,0,4,3,87,12,0,2,0,0,1,4
25,1,29,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
26,1,53,1,43,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,0,0,0,1,0
27,1,53,34,5,3,0,0,0,0,0,0,1,4,2,1,0,3,8,23,0,1,2,0,0,0
28,1,52,4,28,3,0,1,1,0,0,0,2,4,5,1,0,1,3,0,0,0,2,0,0,1
29,1,16,5,3,0,0,0,0,0,0,0,0,1,3,0,1,1,7,0,0,0,0,0,0,0
30,1,18,13,13,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
31,1,23,6,18,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
32,1,48,13,35,1,0,1,1,0,0,0,0,1,1,1,0,1,2,3,0,0,0,0,0,1
33,1,12,18,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
34,1,50,3,6,5,0,0,0,0,0,0,0,4,8,0,0,1,18,7,0,1,0,0,0,0
