UID,UDC,UFN,UTN,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,DC_11,DC_12,DC_13,DC_14,DC_15,DC_16,DC_17,DC_18,DC_19,DC_20,DC_21,DC_22
60,1,34,1,30,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
61,1,15,3,1,1,0,0,0,0,0,1,1,1,5,0,0,1,1,2,0,0,0,0,0,1
62,1,46,6,6,1,0,1,0,0,0,0,0,2,21,0,0,0,8,6,0,0,1,0,0,0
63,1,27,26,5,0,0,0,0,0,0,0,0,0,1,0,0,0,17,3,0,1,0,0,0,0
64,1,59,12,29,2,0,2,0,0,0,1,0,3,4,1,0,5,8,1,0,2,1,0,0,0
65,1,31,4,3,1,0,0,0,0,0,0,0,2,3,0,0,1,6,14,0,0,1,0,0,0
66,1,36,57,1,2,0,0,0,0,0,1,0,0,2,1,0,3,16,5,0,2,1,0,1,1
67,1,130,30,3,10,1,1,1,2,0,1,0,5,9,10,0,5,67,4,0,5,3,0,1,2
68,1,96,117,60,6,0,0,0,0,0,1,0,6,4,1,0,8,2,7,0,1,0,0,0,0
69,1,11,8,5,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0
70,1,1955,8,1643,18,0,2,2,7,0,1,1,14,12,10,3,20,145,68,1,1,3,1,2,1
71,1,1513,44,835,37,2,4,7,1,1,2,3,43,55,17,6,50,294,119,0,15,14,1,3,4
72,1,28,13,20,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0
73,1,45,23,22,4,0,0,0,0,1,0,0,2,3,0,0,2,6,4,0,1,0,0,0,0
74,1,1620,2,95,69,2,23,19,9,4,13,14,44,85,31,3,72,918,124,3,33,27,4,14,14
75,1,13,34,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
76,1,48,5,25,2,0,0,0,0,1,0,0,2,3,1,0,2,6,4,0,1,0,0,0,1
77,1,23,57,2,0,0,0,0,0,0,0,0,0,2,1,0,9,4,4,0,0,1,0,0,0
78,1,13,49,7,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0
79,1,17,2,12,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
80,1,611,3,29,15,1,9,5,2,6,3,3,11,41,10,8,13,365,46,5,15,15,0,4,5
81,1,19,40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,11,57,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
83,1,27,38,16,0,0,1,0,1,0,1,0,1,0,0,0,0,3,2,0,0,1,0,0,1
84,1,29,4,17,1,0,0,0,0,0,0,0,2,1,0,0,0,2,5,0,0,0,0,1,0
85,1,27,1,2,2,0,0,0,0,0,0,1,2,2,1,0,1,3,11,0,1,0,0,1,0
86,1,44,3,34,0,0,0,0,0,0,0,0,0,1,1,0,1,1,6,0,0,0,0,0,0
87,1,40,4,2,2,0,0,0,0,0,0,0,3,5,0,0,1,19,8,0,0,0,0,0,0
88,1,32,45,3,1,0,2,0,0,0,0,1,3,2,0,0,13,3,4,0,0,0,0,0,0
89,1,67,66,56,4,0,1,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0
90,1,50,34,2,2,0,1,0,0,0,0,2,1,1,0,0,2,31,6,0,1,1,0,0,0
91,1,191,11,16,10,0,1,0,0,0,0,0,8,18,4,2,8,92,16,0,7,6,0,3,0
92,1,41,3,4,0,0,2,2,0,0,1,1,0,5,2,0,3,13,6,0,0,0,0,1,1
93,1,23,2,2,2,0,0,0,0,0,0,0,1,2,1,0,1,1,2,1,1,0,0,0,9
94,1,41,30,18,4,0,0,0,0,0,0,1,0,1,0,1,1,6,4,0,0,3,1,0,1
95,1,19,48,10,3,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0
96,1,20,6,17,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
97,1,20,5,7,0,0,1,0,0,0,0,0,2,3,0,0,0,2,3,0,1,0,0,0,1
98,1,108,2,67,4,1,1,0,0,0,0,0,2,9,2,0,2,10,4,0,0,5,0,0,1
99,1,33,10,14,1,1,3,1,0,0,0,0,1,3,0,0,1,4,3,0,1,0,0,0,0
100,1,14,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,1,1
101,1,20,16,13,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0
102,1,67,43,34,9,0,0,0,0,0,1,2,0,1,0,0,5,3,10,0,0,2,0,0,0
103,1,50,7,4,0,0,3,1,0,0,1,1,1,3,2,0,4,5,21,0,0,0,0,2,2
104,1,22,10,2,1,0,0,0,0,0,0,1,0,9,0,0,2,4,2,0,0,1,0,0,0
105,1,22,3,17,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
106,1,51,39,26,3,0,0,0,0,0,0,0,5,2,1,0,1,5,5,0,1,1,0,0,1
107,1,41,4,2,2,0,2,0,0,0,0,0,0,1,1,0,3,24,6,0,0,0,0,0,0
108,1,148,25,12,13,0,1,2,0,0,1,1,8,16,3,0,7,19,52,0,3,5,0,4,1
109,1,37,15,29,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0
110,1,1357,5,98,46,2,10,14,14,3,6,17,38,81,33,9,58,696,161,2,22,27,0,10,10
111,1,43,142,4,4,0,1,0,0,0,0,0,0,10,0,1,7,7,7,0,0,0,0,0,2
112,1,26,9,13,1,0,0,0,0,0,0,0,2,1,0,0,4,3,2,0,0,0,0,0,0
113,1,57,1,50,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0
114,1,23,1,19,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
115,1,4221,12,252,193,7,37,27,28,4,18,46,139,299,87,17,203,2223,443,9,65,63,4,24,33
116,1,68,13,47,1,0,1,0,1,0,0,0,2,3,0,0,2,5,6,0,0,0,0,0,0
117,1,21,30,2,0,0,0,0,0,0,0,0,1,17,0,0,0,1,0,0,0,0,0,0,0
118,1,54,40,4,7,0,2,1,0,0,1,0,4,3,1,1,2,20,4,1,1,2,0,0,0
119,1,23,18,11,2,0,0,0,0,0,0,0,3,1,0,0,0,5,1,0,0,0,0,0,0
120,1,91,35,60,2,0,1,1,4,0,0,0,0,0,0,0,5,6,11,0,0,0,1,0,0
121,1,20,52,2,1,0,0,3,0,0,0,0,1,8,1,0,0,3,1,0,0,0,0,0,0
122,1,37,39,3,0,0,0,1,0,0,0,0,1,0,1,0,21,6,3,0,0,1,0,0,0
123,1,31,5,13,2,0,1,1,0,0,0,0,2,3,1,0,1,2,2,0,3,0,0,0,0
124,1,19,42,12,2,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0
125,1,15,16,8,1,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
126,1,12,1,4,1,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0
127,1,15,15,9,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1
128,1,64,61,41,1,1,0,1,0,0,0,0,2,12,0,0,0,5,0,0,1,0,0,0,0
129,1,169,45,77,8,1,6,2,2,1,1,1,7,14,0,0,4,19,12,0,6,5,0,1,2
130,1,11,1,4,2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0
131,1,65,14,5,2,0,1,2,0,0,2,1,0,8,2,0,5,22,9,0,1,2,1,1,1
132,1,46,24,5,0,0,2,2,0,0,0,0,3,3,0,0,1,22,6,0,1,0,0,1,0
