datacenter_AZ_SUS,0,1,0.1,184,100,0,100,40,100,500,1000
datacenter_AZ_WUS,1,2,0.1,208,152,0,100,44,100,550,1100   
datacenter_AZ_BS,2,3,0.1,326,208,0,100,56,100,700,1000
datacenter_AZ_NEU,3,4,0.1,220,100,0,100,40,100,500,1000   
datacenter_AZ_WEU,4,5,0.1,196,100,0,100,43,100,540,1000
datacenter_AZ_EAS,5,6,0.1,240,160,0,100,40,100,500,1000
datacenter_AZ_JAW,6,7,0.1,200,150,0,100,40,100,500,1000
datacenter_AZ_SAS,7,8,0.1,200,160,0,100,40,100,500,1000
datacenter_AZ_AUE,8,9,0.1,200,150,0,100,44,100,550,1000
datacenter_AZ_CGer,9,10,0.1,210,115,0,115,46,115,575,1150
datacenter_AZ_CWInd,10,11,0.1,200,152,0,100,44,100,550,1000
datacenter_AZ_SInd,11,12,0.1,238,150,0,100,40,100,500,1000
datacenter_AZ_CCan,12,13,0.1,200,110,0,100,48,100,600,1000
datacenter_AZ_SWUK,13,14,0.1,192,105,0,110,47,110,590,1100


