obj#,nonMCost,sCost,rCost,wCost,tCost,cCost,mCost,locationt=0  
j=2,2556791900078540,2556791900000000,0,0,78540,0,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,20011995900744810,20011995900000000,0,0,744810,0,0,1
j=5,596520000017000,596520000000000,0,0,17000,0,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,932260000047600,932260000000000,0,0,47600,0,0,1
j=8,534956000026180,534956000000000,0,0,26180,0,0,1
j=9,979570200041055,979570200000000,0,0,41055,0,0,1
j=10,3510664000123420,3510664000000000,0,0,123420,0,0,1
j=11,1677585800051000,1677585800000000,0,0,51000,0,0,1
j=12,3240260000146880,3240260000000000,0,0,146880,0,0,1
j=13,31848900002000,31848900000000,0,0,2000,0,0,1
j=14,340087200013600,340087200000000,0,0,13600,0,0,1

t=20  
j=0,75822700003400,75822700000000,0,0,3400,0,0,1
j=1,51392600003740,51392600000000,0,0,3740,0,0,1
j=2,2866622300080920,2866622300000000,0,0,80920,0,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,22404567900733830,22404567900000000,0,0,733830,0,0,1
j=5,664776000017000,664776000000000,0,0,17000,0,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1103740000045900,1103740000000000,0,0,45900,0,0,1
j=8,618836000020570,618836000000000,0,0,20570,0,0,1
j=9,1105066200035190,1105066200000000,0,0,35190,0,0,1
j=10,3866104000132770,3866104000000000,0,0,132770,0,0,1
j=11,1860512600054400,1860512600000000,0,0,54400,0,0,1
j=12,3642620000124440,3642620000000000,0,0,124440,0,0,1
j=13,39682500002000,39682500000000,0,0,2000,0,0,1
j=14,372213600008500,372213600000000,0,0,8500,0,0,1

t=21  
j=0,86089900003400,86089900000000,0,0,3400,0,0,1
j=1,62999000001870,62999000000000,0,0,1870,0,0,1
j=2,3189557900099960,3189557900000000,0,0,99960,0,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,24737516700761280,24737516700000000,0,0,761280,0,0,1
j=5,729864000027200,729864000000000,0,0,27200,0,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1286980000052700,1286980000000000,0,0,52700,0,0,1
j=8,692036000033660,692036000000000,0,0,33660,0,0,1
j=9,1215442200031280,1215442200000000,0,0,31280,0,0,1
j=10,4252384000172040,4252384000000000,0,0,172040,0,0,1
j=11,2069571800045900,2069571800000000,0,0,45900,0,0,1
j=12,3977300000116280,3977300000000000,0,0,116280,0,0,1
j=13,47516100002000,47516100000000,0,0,2000,0,0,1
j=14,394514400020400,394514400000000,0,0,20400,0,0,1

t=22  
j=0,96357100005100,96357100000000,0,0,5100,0,0,1
j=1,71485400003740,71485400000000,0,0,3740,0,0,1
j=2,3610489100090440,3610489100000000,0,0,90440,0,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,27129618300887550,27129618300000000,0,0,887550,0,0,1
j=5,838440000030600,838440000000000,0,0,30600,0,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1482220000044200,1482220000000000,0,0,44200,0,0,1
j=8,803996000031790,803996000000000,0,0,31790,0,0,1
j=9,1305028200048875,1305028200000000,0,0,48875,0,0,1
j=10,4781944000162690,4781944000000000,0,0,162690,0,0,1
j=11,2255497400081600,2255497400000000,0,0,81600,0,0,1
j=12,4300700000132600,4300700000000000,0,0,132600,0,0,1
j=13,55349700002000,55349700000000,0,0,2000,0,0,1
j=14,452474400025500,452474400000000,0,0,25500,0,0,1

t=23  
j=0,108942700001700,108942700000000,0,0,1700,0,0,1
j=1,83091800003740,83091800000000,0,0,3740,0,0,1
j=2,3998168300095200,3998168300000000,0,0,95200,0,0,1
j=3,299200001700,299200000000,0,0,1700,0,740000000000,1
j=4,29917091100924150,29917091100000000,0,0,924150,0,0,1
j=5,967176000044200,967176000000000,0,0,44200,0,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1642780000054400,1642780000000000,0,0,54400,0,0,1
j=8,902636000043010,902636000000000,0,0,43010,0,0,1
j=9,1444006200050830,1444006200000000,0,0,50830,0,0,1
j=10,5257024000211310,5257024000000000,0,0,211310,0,0,1
j=11,2557662200074800,2557662200000000,0,0,74800,0,0,1
j=12,4669820000175440,4669820000000000,0,0,175440,0,0,1
j=13,63183300004000,63183300000000,0,0,4000,0,0,1
j=14,528208800032300,528208800000000,0,0,32300,0,0,1

t=24  
j=0,116449900006800,116449900000000,0,0,6800,0,0,1
j=1,94698200005610,94698200000000,0,0,5610,0,0,1
j=2,4401104300088060,4401104300000000,0,0,88060,0,0,1
j=3,9275200001700,9275200000000,0,0,1700,0,0,1
j=4,32843214300953430,32843214300000000,0,0,953430,0,0,1
j=5,1151784000042500,1151784000000000,0,0,42500,0,0,1
j=6,272000001700,272000000000,0,0,1700,0,740000000000,1
j=7,1824340000040800,1824340000000000,0,0,40800,0,0,1
j=8,1048436000050490,1048436000000000,0,0,50490,0,0,1
j=9,1584748200039100,1584748200000000,0,0,39100,0,0,1
j=10,5907424000211310,5907424000000000,0,0,211310,0,0,1
j=11,2828553800062900,2828553800000000,0,0,62900,0,0,1
j=12,5147300000181560,5147300000000000,0,0,181560,0,0,1
j=13,73896900004000,73896900000000,0,0,4000,0,0,1
j=14,631101600030600,631101600000000,0,0,30600,0,0,1

t=25  
j=0,131243500005100,131243500000000,0,0,5100,0,0,1
j=1,108925400003740,108925400000000,0,0,3740,0,0,1
j=2,4794064700154700,4794064700000000,0,0,154700,0,0,1
j=3,18251200001700,18251200000000,0,0,1700,0,0,1
j=4,35955851101068720,35955851100000000,0,0,1068720,0,0,1
j=5,1334088000042500,1334088000000000,0,0,42500,0,0,1
j=6,8432000001700,8432000000000,0,0,1700,0,0,1
j=7,1983820000069700,1983820000000000,0,0,69700,0,0,1
j=8,1206716000050490,1206716000000000,0,0,50490,0,0,1
j=9,1703062200076245,1703062200000000,0,0,76245,0,0,1
j=10,6569944000235620,6569944000000000,0,0,235620,0,0,1
j=11,3038898200090100,3038898200000000,0,0,90100,0,0,1
j=12,5633780000169320,5633780000000000,0,0,169320,0,0,1
j=13,84610500002000,84610500000000,0,0,2000,0,0,1
j=14,737748000030600,737748000000000,0,0,30600,0,0,1

t=26  
j=0,149017900008500,149017900000000,0,0,8500,0,0,1
j=1,125898200009350,125898200000000,0,0,9350,0,0,1
j=2,5390840300161840,5390840300000000,0,0,161840,0,0,1
j=3,27227200001700,27227200000000,0,0,1700,0,0,1
j=4,39366133501057740,39366133500000000,0,0,1057740,0,0,1
j=5,1507176000045900,1507176000000000,0,0,45900,0,0,1
j=6,16592000001700,16592000000000,0,0,1700,0,0,1
j=7,2189980000076500,2189980000000000,0,0,76500,0,0,1
j=8,1351676000029920,1351676000000000,0,0,29920,0,0,1
j=9,1935532200062560,1935532200000000,0,0,62560,0,0,1
j=10,7288024000226270,7288024000000000,0,0,226270,0,0,1
j=11,3363625400096900,3363625400000000,0,0,96900,0,0,1
j=12,6104540000181560,6104540000000000,0,0,181560,0,0,1
j=13,92444100004000,92444100000000,0,0,4000,0,0,1
j=14,828276000028900,828276000000000,0,0,28900,0,0,1

t=27  
j=0,171318700006800,171318700000000,0,0,6800,0,0,1
j=1,157098200009350,157098200000000,0,0,9350,0,0,1
j=2,6005415500133280,6005415500000000,0,0,133280,0,0,1
j=3,36203200003400,36203200000000,0,0,3400,0,0,1
j=4,42751249501043100,42751249500000000,0,0,1043100,0,0,1
j=5,1674792000044200,1674792000000000,0,0,44200,0,0,1
j=6,24752000005100,24752000000000,0,0,5100,0,0,1
j=7,2452060000076500,2452060000000000,0,0,76500,0,0,1
j=8,1447796000046750,1447796000000000,0,0,46750,0,0,1
j=9,2130580200044965,2130580200000000,0,0,44965,0,0,1
j=10,7933264000203830,7933264000000000,0,0,203830,0,0,1
j=11,3711343400078200,3711343400000000,0,0,78200,0,0,1
j=12,6597500000171360,6597500000000000,0,0,171360,0,0,1
j=13,103157700004000,103157700000000,0,0,4000,0,0,1
j=14,908647200035700,908647200000000,0,0,35700,0,0,1

t=28  
j=0,191411500005100,191411500000000,0,0,5100,0,0,1
j=1,194163800014960,194163800000000,0,0,14960,0,0,1
j=2,6559354700149940,6559354700000000,0,0,149940,0,0,1
j=3,48479200003400,48479200000000,0,0,3400,0,0,1
j=4,46028173501068720,46028173500000000,0,0,1068720,0,0,1
j=5,1838376000042500,1838376000000000,0,0,42500,0,0,1
j=6,49232000008500,49232000000000,0,0,8500,0,0,1
j=7,2706700000052700,2706700000000000,0,0,52700,0,0,1
j=8,1575356000061710,1575356000000000,0,0,61710,0,0,1
j=9,2261368200050830,2261368200000000,0,0,50830,0,0,1
j=10,8537344000254320,8537344000000000,0,0,254320,0,0,1
j=11,3999085400090100,3999085400000000,0,0,90100,0,0,1
j=12,7070060000208080,7070060000000000,0,0,208080,0,0,1
j=13,113871300020000,113871300000000,0,0,20000,0,0,1
j=14,1005468000032300,1005468000000000,0,0,32300,0,0,1

t=29  
j=0,209185900003400,209185900000000,0,0,3400,0,0,1
j=1,240090200009350,240090200000000,0,0,9350,0,0,1
j=2,7147523900135660,7147523900000000,0,0,135660,0,0,1
j=3,60755200003400,60755200000000,0,0,3400,0,0,1
