datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,14596,0,60719300000000,40200000000000,0,16000,4000,100919300016000
j=2,14596,1,95165900000000,0,0,9520,2800,95165900009520
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,164461,0,328922000000000,711300000000000,0,204000,51000,1040222000204000
j=4,164461,1,644687100000000,0,0,93330,27540,644687100093330
j=5,915,0,2928000000000,20400000000000,0,4000,1000,23328000004000
j=5,915,1,4392000000000,0,0,1700,500,4392000001700
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,7585,0,24272000000000,27900000000000,0,8000,2000,52172000008000
j=7,7585,1,30340000000000,0,0,3400,1000,30340000003400
j=8,1619,0,4857000000000,20400000000000,0,4000,1000,25257000004000
j=8,1619,1,6476000000000,0,0,1870,550,6476000001870
j=9,8591,0,19759300000000,32085000000000,0,9200,2300,51844300009200
j=9,8591,1,36082200000000,0,0,3910,1150,36082200003910
j=10,16636,0,50573400000000,121800000000000,0,32000,8000,172373400032000
j=10,16636,1,66544000000000,0,0,14960,4400,66544000014960
j=11,9114,0,27342000000000,27900000000000,0,8000,2000,55242000008000
j=11,9114,1,43382600000000,0,0,3400,1000,43382600003400
j=12,35225,0,77495000000000,274500000000000,0,72000,18000,351995000072000
j=12,35225,1,140900000000000,0,0,36720,10800,140900000036720
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,915,0,1830000000000,0,0,0,0,1830000000000
j=14,915,1,3367200000000,0,0,0,0,3367200000000

t=4  
j=0,114,0,228000000000,0,0,0,0,228000000000
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,18616,0,77442500000000,76800000000000,0,24000,6000,154242500024000
j=2,18616,1,121376300000000,0,0,14280,4200,121376300014280
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,235591,0,471182000000000,968100000000000,0,288000,72000,1439282000288000
j=4,235591,1,923516700000000,0,0,131760,38880,923516700131760
j=5,2955,0,9456000000000,27900000000000,0,8000,2000,37356000008000
j=5,2955,1,14184000000000,0,0,3400,1000,14184000003400
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,10375,0,33200000000000,20400000000000,0,4000,1000,53600000004000
j=7,10375,1,41500000000000,0,0,1700,500,41500000001700
j=8,3659,0,10977000000000,27900000000000,0,8000,2000,38877000008000
j=8,3659,1,14636000000000,0,0,3740,1100,14636000003740
j=9,11381,0,26176300000000,23460000000000,0,4600,1150,49636300004600
j=9,11381,1,47800200000000,0,0,1955,575,47800200001955
j=10,28816,0,87600600000000,180900000000000,0,52000,13000,268500600052000
j=10,28816,1,115264000000000,0,0,24310,7150,115264000024310
j=11,11904,0,35712000000000,20400000000000,0,4000,1000,56112000004000
j=11,11904,1,56663000000000,0,0,1700,500,56663000001700
j=12,62675,0,137885000000000,187800000000000,0,52000,13000,325685000052000
j=12,62675,1,250700000000000,0,0,26520,7800,250700000026520
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,915,0,1830000000000,20400000000000,0,4000,1000,22230000004000
j=14,915,1,3367200000000,0,0,1700,500,3367200001700

t=5  
j=0,114,0,228000000000,0,0,0,0,228000000000
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,26296,0,109391300000000,53100000000000,0,20000,5000,162491300020000
j=2,26296,1,171449900000000,0,0,11900,3500,171449900011900
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,332401,0,664802000000000,1167000000000000,0,336000,84000,1831802000336000
j=4,332401,1,1303011900000000,0,0,153720,45360,1303011900153720
j=5,5745,0,18384000000000,20400000000000,0,4000,1000,38784000004000
j=5,5745,1,27576000000000,0,0,1700,500,27576000001700
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
