datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
j=0,16455871,1,60557605200000000,0,0,821100,241500,60557605200821100

t=35  
j=0,17187271,0,34374542000000000,7146300000000000,0,1972000,493000,41520842001972000
j=0,17187271,1,63249157200000000,0,0,838100,246500,63249157200838100

t=36  
j=0,17901901,0,35803802000000000,5953500000000000,0,1600000,400000,41757302001600000
j=0,17901901,1,65878995600000000,0,0,680000,200000,65878995600680000

t=37  
j=0,18497251,0,36994502000000000,5823300000000000,0,1548000,387000,42817802001548000
j=0,18497251,1,68069883600000000,0,0,657900,193500,68069883600657900

t=38  
j=0,19079581,0,38159162000000000,5117100000000000,0,1472000,368000,43276262001472000
j=0,19079581,1,70212858000000000,0,0,625600,184000,70212858000625600

t=39  
j=0,19591291,0,39182582000000000,4787400000000000,0,1316000,329000,43969982001316000
j=0,19591291,1,72095950800000000,0,0,559300,164500,72095950800559300

t=40  
j=0,20070031,0,40140062000000000,4573500000000000,0,1248000,312000,44713562001248000
j=0,20070031,1,73857714000000000,0,0,530400,156000,73857714000530400

t=41  
j=0,20527381,0,41054762000000000,4257900000000000,0,1160000,290000,45312662001160000
j=0,20527381,1,75540762000000000,0,0,493000,145000,75540762000493000

t=42  
j=0,20953171,0,41906342000000000,4992900000000000,0,1380000,345000,46899242001380000
j=0,20953171,1,77107669200000000,0,0,586500,172500,77107669200586500

t=43  
j=0,21452461,0,42904922000000000,3815100000000000,0,1036000,259000,46720022001036000
j=0,21452461,1,78945056400000000,0,0,440300,129500,78945056400440300

t=44  
j=0,21833971,0,43667942000000000,3824400000000000,0,1028000,257000,47492342001028000
j=0,21833971,1,80349013200000000,0,0,436900,128500,80349013200436900

t=45  
j=0,22216411,0,44432822000000000,3345600000000000,0,888000,222000,47778422000888000
j=0,22216411,1,81756392400000000,0,0,377400,111000,81756392400377400

t=46  
j=0,22550971,0,45101942000000000,3220800000000000,0,912000,228000,48322742000912000
j=0,22550971,1,82987573200000000,0,0,387600,114000,82987573200387600

t=47  
j=0,22873051,0,45746102000000000,2588100000000000,0,700000,175000,48334202000700000
j=0,22873051,1,84172827600000000,0,0,297500,87500,84172827600297500

t=48  
j=0,23131861,0,46263722000000000,2085600000000000,0,580000,145000,48349322000580000
j=0,23131861,1,85125248400000000,0,0,246500,72500,85125248400246500

t=49  
j=0,23340421,0,46680842000000000,1545300000000000,0,448000,112000,48226142000448000
j=0,23340421,1,85892749200000000,0,0,190400,56000,85892749200190400

t=50  
j=0,23494951,0,46989902000000000,1687500000000000,0,468000,117000,48677402000468000
j=0,23494951,1,86461419600000000,0,0,198900,58500,86461419600198900

t=51  
j=0,23663701,0,47327402000000000,1057500000000000,0,280000,70000,48384902000280000
j=0,23663701,1,87082419600000000,0,0,119000,35000,87082419600119000

t=52  
j=0,23769451,0,47538902000000000,960000000000000,0,268000,67000,48498902000268000
j=0,23769451,1,87471579600000000,0,0,113900,33500,87471579600113900

t=53  
j=0,23865451,0,47730902000000000,909000000000000,0,256000,64000,48639902000256000
j=0,23865451,1,87824859600000000,0,0,108800,32000,87824859600108800

t=54  
j=0,23956351,0,47912702000000000,833700000000000,0,236000,59000,48746402000236000
j=0,23956351,1,88159371600000000,0,0,100300,29500,88159371600100300

t=55  
j=0,24039721,0,48079442000000000,580800000000000,0,152000,38000,48660242000152000
j=0,24039721,1,88466173200000000,0,0,64600,19000,88466173200064600

t=56  
j=0,24097801,0,48195602000000000,513300000000000,0,144000,36000,48708902000144000
j=0,24097801,1,88679907600000000,0,0,61200,18000,88679907600061200

t=57  
j=0,24149131,0,48298262000000000,400800000000000,0,120000,30000,48699062000120000
j=0,24149131,1,88868802000000000,0,0,51000,15000,88868802000051000

t=58  
j=0,24189211,0,48378422000000000,329400000000000,0,100000,25000,48707822000100000
j=0,24189211,1,89016296400000000,0,0,42500,12500,89016296400042500

t=59  
j=0,24222151,0,48444302000000000,250200000000000,0,88000,22000,48694502000088000
j=0,24222151,1,89137515600000000,0,0,37400,11000,89137515600037400

datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
t=0  
j=0,3361,0,33610000000000,466200000000000,0,132000,33000,499810000132000
j=0,3361,1,61842400000000,0,0,56100,16500,61842400056100

t=1  
j=0,49981,0,499810000000000,559500000000000,0,160000,40000,1059310000160000
j=0,49981,1,919650400000000,0,0,68000,20000,919650400068000

t=2  
j=0,105931,0,1059310000000000,585300000000000,0,168000,42000,1644610000168000
j=0,105931,1,1949130400000000,0,0,71400,21000,1949130400071400

t=3  
j=0,164461,0,1644610000000000,711300000000000,0,204000,51000,2355910000204000
j=0,164461,1,3026082400000000,0,0,86700,25500,3026082400086700

t=4  
j=0,235591,0,2355910000000000,968100000000000,0,288000,72000,3324010000288000
j=0,235591,1,4334874400000000,0,0,122400,36000,4334874400122400

t=5  
j=0,332401,0,3324010000000000,1167000000000000,0,336000,84000,4491010000336000
j=0,332401,1,6116178400000000,0,0,142800,42000,6116178400142800

t=6  
j=0,449101,0,4491010000000000,1401300000000000,0,412000,103000,5892310000412000
j=0,449101,1,8263458400000000,0,0,175100,51500,8263458400175100

t=7  
j=0,589231,0,5892310000000000,1679400000000000,0,484000,121000,7571710000484000
j=0,589231,1,10841850400000000,0,0,205700,60500,10841850400205700

t=8  
j=0,757171,0,7571710000000000,2337300000000000,0,652000,163000,9909010000652000
j=0,757171,1,13931946400000000,0,0,277100,81500,13931946400277100

t=9  
j=0,990901,0,9909010000000000,2255400000000000,0,636000,159000,12164410000636000
j=0,990901,1,18232578400000000,0,0,270300,79500,18232578400270300

t=10  
j=0,1216441,0,12164410000000000,2949600000000000,0,848000,212000,15114010000848000
j=0,1216441,1,22382514400000000,0,0,360400,106000,22382514400360400

t=11  
j=0,1511401,0,15114010000000000,3215700000000000,0,900000,225000,18329710000900000
j=0,1511401,1,27809778400000000,0,0,382500,112500,27809778400382500

t=12  
j=0,1832971,0,18329710000000000,3664200000000000,0,1044000,261000,21993910001044000
j=0,1832971,1,33726666400000000,0,0,443700,130500,33726666400443700

t=13  
j=0,2199391,0,21993910000000000,4061100000000000,0,1132000,283000,26055010001132000
j=0,2199391,1,40468794400000000,0,0,481100,141500,40468794400481100

t=14  
j=0,2605501,0,26055010000000000,4405200000000000,0,1236000,309000,30460210001236000
j=0,2605501,1,47941218400000000,0,0,525300,154500,47941218400525300

t=15  
j=0,3046021,0,30460210000000000,4993500000000000,0,1356000,339000,35453710001356000
j=0,3046021,1,56046786400000000,0,0,576300,169500,56046786400576300

t=16  
j=0,3545371,0,35453710000000000,4627800000000000,0,1312000,328000,40081510001312000
j=0,3545371,1,65234826400000000,0,0,557600,164000,65234826400557600

t=17  
j=0,4008151,0,40081510000000000,5717700000000000,0,1592000,398000,45799210001592000
j=0,4008151,1,73749978400000000,0,0,676600,199000,73749978400676600

t=18  
j=0,4579921,0,45799210000000000,5251800000000000,0,1448000,362000,51051010001448000
j=0,4579921,1,84270546400000000,0,0,615400,181000,84270546400615400

t=19  
j=0,5105101,0,51051010000000000,6103500000000000,0,1628000,407000,57154510001628000
j=0,5105101,1,93933858400000000,0,0,691900,203500,93933858400691900

t=20  
j=0,5715451,0,57154510000000000,5951400000000000,0,1604000,401000,63105910001604000
j=0,5715451,1,105164298400000000,0,0,681700,200500,105164298400681700

t=21  
j=0,6310591,0,63105910000000000,6102300000000000,0,1664000,416000,69208210001664000
j=0,6310591,1,116114874400000000,0,0,707200,208000,116114874400707200

t=22  
j=0,6920821,0,69208210000000000,7110900000000000,0,1940000,485000,76319110001940000
j=0,6920821,1,127343106400000000,0,0,824500,242500,127343106400824500

t=23  
j=0,7631911,0,76319110000000000,7464600000000000,0,2020000,505000,83783710002020000
j=0,7631911,1,140427162400000000,0,0,858500,252500,140427162400858500

t=24  
j=0,8378371,0,83783710000000000,7940400000000000,0,2084000,521000,91724110002084000
j=0,8378371,1,154162026400000000,0,0,885700,260500,154162026400885700

t=25  
j=0,9172411,0,91724110000000000,8699700000000000,0,2336000,584000,100423810002336000
j=0,9172411,1,168772362400000000,0,0,992800,292000,168772362400992800

t=26  
j=0,10042381,0,100423810000000000,8635500000000000,0,2312000,578000,109059310002312000
j=0,10042381,1,184779810400000000,0,0,982600,289000,184779810400982600

t=27  
j=0,10905931,0,109059310000000000,8359500000000000,0,2280000,570000,117418810002280000
j=0,10905931,1,200669130400000000,0,0,969000,285000,200669130400969000

t=28  
j=0,11741881,0,117418810000000000,8642400000000000,0,2336000,584000,126061210002336000
j=0,11741881,1,216050610400000000,0,0,992800,292000,216050610400992800

t=29  
j=0,12606121,0,126061210000000000,8445900000000000,0,2224000,556000,134507110002224000
j=0,12606121,1,231952626400000000,0,0,945200,278000,231952626400945200

t=30  
j=0,13450711,0,134507110000000000,7631700000000000,0,2036000,509000,142138810002036000
j=0,13450711,1,247493082400000000,0,0,865300,254500,247493082400865300

t=31  
j=0,14213881,0,142138810000000000,7868100000000000,0,2120000,530000,150006910002120000
j=0,14213881,1,261535410400000000,0,0,901000,265000,261535410400901000

t=32  
j=0,15000691,0,150006910000000000,7326300000000000,0,2016000,504000,157333210002016000
j=0,15000691,1,276012714400000000,0,0,856800,252000,276012714400856800

t=33  
j=0,15733321,0,157333210000000000,7225500000000000,0,1968000,492000,164558710001968000
j=0,15733321,1,289493106400000000,0,0,836400,246000,289493106400836400

t=34  
j=0,16455871,0,164558710000000000,7314000000000000,0,1932000,483000,171872710001932000
j=0,16455871,1,302788026400000000,0,0,821100,241500,302788026400821100

t=35  
j=0,17187271,0,171872710000000000,7146300000000000,0,1972000,493000,179019010001972000
j=0,17187271,1,316245786400000000,0,0,838100,246500,316245786400838100

t=36  
j=0,17901901,0,179019010000000000,5953500000000000,0,1600000,400000,184972510001600000
j=0,17901901,1,329394978400000000,0,0,680000,200000,329394978400680000

t=37  
j=0,18497251,0,184972510000000000,5823300000000000,0,1548000,387000,190795810001548000
j=0,18497251,1,340349418400000000,0,0,657900,193500,340349418400657900

t=38  
j=0,19079581,0,190795810000000000,5117100000000000,0,1472000,368000,195912910001472000
j=0,19079581,1,351064290400000000,0,0,625600,184000,351064290400625600

t=39  
j=0,19591291,0,195912910000000000,4787400000000000,0,1316000,329000,200700310001316000
j=0,19591291,1,360479754400000000,0,0,559300,164500,360479754400559300

t=40  
j=0,20070031,0,200700310000000000,4573500000000000,0,1248000,312000,205273810001248000
j=0,20070031,1,369288570400000000,0,0,530400,156000,369288570400530400

t=41  
j=0,20527381,0,205273810000000000,4257900000000000,0,1160000,290000,209531710001160000
j=0,20527381,1,377703810400000000,0,0,493000,145000,377703810400493000

t=42  
j=0,20953171,0,209531710000000000,4992900000000000,0,1380000,345000,214524610001380000
j=0,20953171,1,385538346400000000,0,0,586500,172500,385538346400586500

t=43  
j=0,21452461,0,214524610000000000,3815100000000000,0,1036000,259000,218339710001036000
j=0,21452461,1,394725282400000000,0,0,440300,129500,394725282400440300

t=44  
j=0,21833971,0,218339710000000000,3824400000000000,0,1028000,257000,222164110001028000
j=0,21833971,1,401745066400000000,0,0,436900,128500,401745066400436900

t=45  
j=0,22216411,0,222164110000000000,3345600000000000,0,888000,222000,225509710000888000
j=0,22216411,1,408781962400000000,0,0,377400,111000,408781962400377400

t=46  
j=0,22550971,0,225509710000000000,3220800000000000,0,912000,228000,228730510000912000
j=0,22550971,1,414937866400000000,0,0,387600,114000,414937866400387600

t=47  
j=0,22873051,0,228730510000000000,2588100000000000,0,700000,175000,231318610000700000
j=0,22873051,1,420864138400000000,0,0,297500,87500,420864138400297500

t=48  
j=0,23131861,0,231318610000000000,2085600000000000,0,580000,145000,233404210000580000
