datacenter_AZ_SUS,datacenter_AZ_SUS,30

t=0  
j=0,s=0,d=0,null
j=0,s=0,d=1,1200000000000
j=0,s=1,d=0,104000000000
j=0,s=1,d=1,null
j=1,s=0,d=0,null
j=1,s=0,d=1,1205000000000
j=1,s=1,d=0,114400000000
j=1,s=1,d=1,null
j=2,s=0,d=0,null
j=2,s=0,d=1,12540000000000
j=2,s=1,d=0,105600000000
j=2,s=1,d=1,null
j=3,s=0,d=0,null
j=3,s=0,d=1,740000000000
j=3,s=1,d=0,104000000000
j=3,s=1,d=1,null
j=4,s=0,d=0,null
j=4,s=0,d=1,33674000000000
j=4,s=1,d=0,104300000000
j=4,s=1,d=1,null
j=5,s=0,d=0,null
j=5,s=0,d=1,9210000000000
j=5,s=1,d=0,104000000000
j=5,s=1,d=1,null
j=6,s=0,d=0,null
j=6,s=0,d=1,740000000000
j=6,s=1,d=0,104000000000
j=6,s=1,d=1,null
j=7,s=0,d=0,null
j=7,s=0,d=1,14710000000000
j=7,s=1,d=0,104000000000
j=7,s=1,d=1,null
j=8,s=0,d=0,null
j=8,s=0,d=1,16255000000000
j=8,s=1,d=0,104400000000
j=8,s=1,d=1,null
j=9,s=0,d=0,null
j=9,s=0,d=1,28485500000000
j=9,s=1,d=0,119600000000
j=9,s=1,d=1,null
j=10,s=0,d=0,null
j=10,s=0,d=1,12525000000000
j=10,s=1,d=0,104400000000
j=10,s=1,d=1,null
j=11,s=0,d=0,null
j=11,s=0,d=1,30000000000000
j=11,s=1,d=0,104000000000
j=11,s=1,d=1,null
j=12,s=0,d=0,null
j=12,s=0,d=1,21420000000000
j=12,s=1,d=0,104800000000
j=12,s=1,d=1,null
j=13,s=0,d=0,null
j=13,s=0,d=1,1544000000000
j=13,s=1,d=0,114700000000
j=13,s=1,d=1,null
j=14,s=0,d=0,null
j=14,s=0,d=1,9210000000000
j=14,s=1,d=0,104000000000
j=14,s=1,d=1,null

t=1  
j=0,s=0,d=0,null
j=0,s=0,d=1,1200000000000
j=0,s=1,d=0,104000000000
j=0,s=1,d=1,null
j=1,s=0,d=0,null
j=1,s=0,d=1,1205000000000
j=1,s=1,d=0,114400000000
j=1,s=1,d=1,null
j=2,s=0,d=0,null
j=2,s=0,d=1,52740000000000
j=2,s=1,d=0,105600000000
j=2,s=1,d=1,null
j=3,s=0,d=0,null
j=3,s=0,d=1,740000000000
j=3,s=1,d=0,104000000000
j=3,s=1,d=1,null
j=4,s=0,d=0,null
j=4,s=0,d=1,499874000000000
j=4,s=1,d=0,104300000000
j=4,s=1,d=1,null
j=5,s=0,d=0,null
j=5,s=0,d=1,9210000000000
j=5,s=1,d=0,104000000000
j=5,s=1,d=1,null
j=6,s=0,d=0,null
j=6,s=0,d=1,740000000000
j=6,s=1,d=0,104000000000
j=6,s=1,d=1,null
j=7,s=0,d=0,null
j=7,s=0,d=1,35110000000000
j=7,s=1,d=0,104000000000
j=7,s=1,d=1,null
j=8,s=0,d=0,null
j=8,s=0,d=1,16255000000000
j=8,s=1,d=0,104400000000
j=8,s=1,d=1,null
j=9,s=0,d=0,null
j=9,s=0,d=1,51945500000000
j=9,s=1,d=0,119600000000
j=9,s=1,d=1,null
j=10,s=0,d=0,null
j=10,s=0,d=1,52725000000000
j=10,s=1,d=0,104400000000
j=10,s=1,d=1,null
j=11,s=0,d=0,null
j=11,s=0,d=1,50400000000000
j=11,s=1,d=0,104000000000
j=11,s=1,d=1,null
j=12,s=0,d=0,null
j=12,s=0,d=1,111420000000000
j=12,s=1,d=0,104800000000
j=12,s=1,d=1,null
j=13,s=0,d=0,null
j=13,s=0,d=1,1544000000000
j=13,s=1,d=0,114700000000
j=13,s=1,d=1,null
j=14,s=0,d=0,null
j=14,s=0,d=1,9210000000000
j=14,s=1,d=0,104000000000
j=14,s=1,d=1,null

t=2  
j=0,s=0,d=0,null
j=0,s=0,d=1,1200000000000
j=0,s=1,d=0,104000000000
j=0,s=1,d=1,null
j=1,s=0,d=0,null
j=1,s=0,d=1,1205000000000
j=1,s=1,d=0,114400000000
j=1,s=1,d=1,null
j=2,s=0,d=0,null
j=2,s=0,d=1,92940000000000
j=2,s=1,d=0,105600000000
j=2,s=1,d=1,null
j=3,s=0,d=0,null
j=3,s=0,d=1,740000000000
j=3,s=1,d=0,104000000000
j=3,s=1,d=1,null
j=4,s=0,d=0,null
j=4,s=0,d=1,1059374000000000
j=4,s=1,d=0,104300000000
j=4,s=1,d=1,null
j=5,s=0,d=0,null
j=5,s=0,d=1,9210000000000
j=5,s=1,d=0,104000000000
j=5,s=1,d=1,null
j=6,s=0,d=0,null
j=6,s=0,d=1,740000000000
j=6,s=1,d=0,104000000000
j=6,s=1,d=1,null
j=7,s=0,d=0,null
j=7,s=0,d=1,55510000000000
j=7,s=1,d=0,104000000000
j=7,s=1,d=1,null
j=8,s=0,d=0,null
j=8,s=0,d=1,16255000000000
j=8,s=1,d=0,104400000000
j=8,s=1,d=1,null
j=9,s=0,d=0,null
j=9,s=0,d=1,75405500000000
j=9,s=1,d=0,119600000000
j=9,s=1,d=1,null
j=10,s=0,d=0,null
j=10,s=0,d=1,92925000000000
j=10,s=1,d=0,104400000000
j=10,s=1,d=1,null
j=11,s=0,d=0,null
j=11,s=0,d=1,70800000000000
j=11,s=1,d=0,104000000000
j=11,s=1,d=1,null
j=12,s=0,d=0,null
j=12,s=0,d=1,222720000000000
j=12,s=1,d=0,104800000000
j=12,s=1,d=1,null
j=13,s=0,d=0,null
j=13,s=0,d=1,1544000000000
j=13,s=1,d=0,114700000000
j=13,s=1,d=1,null
j=14,s=0,d=0,null
j=14,s=0,d=1,9210000000000
j=14,s=1,d=0,104000000000
j=14,s=1,d=1,null

t=3  
j=0,s=0,d=0,null
j=0,s=0,d=1,1200000000000
j=0,s=1,d=0,104000000000
j=0,s=1,d=1,null
j=1,s=0,d=0,null
j=1,s=0,d=1,1205000000000
j=1,s=1,d=0,114400000000
j=1,s=1,d=1,null
j=2,s=0,d=0,null
j=2,s=0,d=1,146040000000000
j=2,s=1,d=0,105600000000
j=2,s=1,d=1,null
j=3,s=0,d=0,null
j=3,s=0,d=1,740000000000
j=3,s=1,d=0,104000000000
j=3,s=1,d=1,null
j=4,s=0,d=0,null
j=4,s=0,d=1,1644674000000000
j=4,s=1,d=0,104300000000
